Organism	growthRate
streptococcus thoraltensis	1-2
nocardia jinanensis	10-14
rhizobium mesoamericanum	1-2
xylanimonas cellulosilytica	10-14
burkholderia anthina	1-2
acinetobacter indicus	2-3
streptomyces glaucescens	10-14
clostridium sp.	1-2
burkholderia gladioli	1-2
campylobacter hyointestinalis	1-2
tsukamurella paurometabola	10-14
streptococcus australis	1-2
mycoplasma bovis	2-3
leifsonia aquatica	10-14
saccharopolyspora spinosa	10-14
streptococcus devriesei	1-2
reyranella massiliensis	3-7
ochrobactrum anthropi	1-2
streptomyces griseorubiginosus	10-14
listeria innocua	1-2
corynebacterium falsenii	10-14
cellulosimicrobium cellulans	2-3
planobispora rosea	10-14
desulfomonile tiedjei	3-7
streptomyces olivochromogenes	10-14
anaerofustis stercorihominis	2-3
hallella seregens	2-3
streptococcus marimammalium	1-2
desulfatirhabdium butyrativorans	>14
legionella jordanis	2-3
arcobacter cryaerophilus	1-2
liberibacter crescens	>14
lactobacillus reuteri	1-2
bartonella tribocorum	1-2
streptococcus gallolyticus	1-2
parabacteroides goldsteinii	2-3
bacteroides salanitronis	2-3
staphylococcus capitis	1-2
kocuria palustris	10-14
methylobacterium sp.	1-2
arcobacter butzleri	1-2
neisseria lactamica	1-2
bifidobacterium longum	1-2
staphylococcus aureus	1-2
streptomyces flavovariabilis	10-14
clostridium kluyveri	1-2
taylorella equigenitalis	3-7
exiguobacterium undae	10-14
streptomyces iranensis	10-14
campylobacter volucris	1-2
alkaliphilus transvaalensis	2-3
sulfurimonas gotlandica	3-7
arcobacter nitrofigilis	1-2
fluoribacter dumoffii	1-2
thiomicrospira crunogena	3-7
alloprevotella rava	2-3
desulfonatronum lacustre	3-7
basilea psittacipulmonis	1-2
prevotella copri	2-3
salinispora tropica	10-14
aggregatibacter actinomycetemcomitans	1-2
nocardia seriolae	10-14
morococcus cerebrosus	1-2
fusobacterium necrophorum	2-3
helicobacter himalayensis	1-2
streptococcus iniae	1-2
veillonella atypica	2-3
massilia timonae	1-2
acinetobacter rudis	1-2
rathayibacter tritici	10-14
prevotella paludivivens	2-3
streptomyces fulvissimus	10-14
streptococcus massiliensis	1-2
listeria seeligeri	1-2
streptococcus sanguinis	1-2
methanohalobium evestigatum	3-7
streptomyces bambergiensis	10-14
pseudomonas aeruginosa	1-2
lactobacillus taiwanensis	1-2
borrelia burgdorferi	2-3
streptobacillus felis	1-2
staphylococcus epidermidis	1-2
halomonas sp.	2-3
fluoribacter gormanii	1-2
verminephrobacter eiseniae	>14
amycolatopsis japonica	10-14
staphylococcus warneri	1-2
fusobacterium ulcerans	3-7
syntrophus aciditrophicus	3-7
nitrososphaera viennensis	>14
mobiluncus curtisii	1-2
clostridium sporogenes	2-3
mycoplasma synoviae	3-7
thermodesulfovibrio thiophilus	8-14
legionella anisa	3-7
mycobacterium hassiacum	10-14
neisseria shayeganii	1-2
sandaracinus amylolyticus	8-14
listeria monocytogenes	1-2
helicobacter pylori	1-2
phaeobacter gallaeciensis	1-2
roseovarius mucosus	1-2
mycobacterium rhodesiae	10-14
jiangella gansuensis	10-14
gordonia bronchialis	10-14
acinetobacter brisouii	1-2
tatlockia micdadei	1-2
geobacter bemidjiensis	3-7
nocardiopsis dassonvillei	10-14
proteiniphilum acetatigenes	1-2
nocardia pseudobrasiliensis	10-14
streptomyces purpureus	10-14
thermobifida fusca	10-14
rhodococcus ruber	10-14
dermacoccus nishinomiyaensis	10-14
sedimenticola selenatireducens	>14
burkholderia cenocepacia	1-2
acidobacterium capsulatum	3-7
acinetobacter guillouiae	1-2
corynebacterium striatum	10-14
staphylococcus pettenkoferi	1-2
demequina salsinemoris	10-14
helicobacter suis	3-7
desulfotalea psychrophila	8-14
methanomethylovorans hollandica	3-7
anaerotruncus colihominis	2-3
campylobacter fetus	1-2
corynebacterium lubricantis	10-14
marinovum algicola	2-3
proteus mirabilis	2-3
legionella longbeachae	1-2
selenomonas sp.	2-3
corynebacterium ulcerans	10-14
corynebacterium callunae	10-14
desulfovibrio sp.	2-3
streptomyces resistomycificus	10-14
bacteroides graminisolvens	1-2
pseudobacteroides cellulosolvens	3-7
burkholderia dolosa	1-2
clostridium perfringens	2-3
burkholderia thailandensis	1-2
gallibacterium anatis	1-2
enterococcus faecium	1-2
xylella fastidiosa	8-14
pseudonocardia dioxanivorans	10-14
sphingomonas sp.	3-7
microtetraspora niveoalba	10-14
capnocytophaga canimorsus	3-7
prevotella nigrescens	1-2
glycomyces arizonensis	10-14
segniliparus rotundus	10-14
leucobacter chromiiresistens	10-14
sulfurospirillum sp.	2-3
mycobacterium simiae	10-14
burkholderia glumae	1-2
streptomyces caeruleatus	10-14
burkholderia vietnamiensis	1-2
corynebacterium singulare	10-14
nocardia brasiliensis	10-14
prevotella denticola	2-3
kytococcus sedentarius	10-14
streptomyces acidiscabies	10-14
methanosaeta concilii	8-14
streptococcus plurextorum	2-3
pandoraea oxalativorans	1-2
anaerobium acetethylicum	3-7
riemerella anatipestifer	1-2
candidatus protochlamydia	2-3
serratia marcescens	1-2
beutenbergia cavernae	10-14
acetobacter pasteurianus	3-7
nocardioides insulae	10-14
acetivibrio cellulolyticus	8-14
enorma massiliensis	2-3
amycolatopsis keratiniphila	10-14
streptococcus pyogenes	1-2
corynebacterium ureicelerivorans	10-14
campylobacter ureolyticus	1-2
borrelia garinii	3-7
treponema sp.	1-2
oceanicola granulosus	1-2
thiomicrospira arctica	8-14
burkholderia cepacia	1-2
actinobacillus pleuropneumoniae	1-2
campylobacter gracilis	3-7
bacteroides intestinalis	1-2
mariprofundus ferrooxydans	8-14
leptospira borgpetersenii	>14
campylobacter jejuni	1-2
corynebacterium simulans	10-14
dysgonomonas gadei	2-3
anaerosalibacter sp.	2-3
paraoerskovia marina	10-14
rubellimicrobium mesophilum	3-7
rhodococcus kroppenstedtii	10-14
neisseria sp.	1-2
jiangella alkaliphila	10-14
streptomyces curacoi	10-14
bacillus sp.	2-3
staphylococcus xylosus	1-2
neisseria elongata	1-2
streptococcus parasanguinis	1-2
bacteroides coprophilus	2-3
streptomyces globisporus	10-14
bacillus licheniformis	2-3
streptacidiphilus carbonis	10-14
sporichthya polymorpha	10-14
sanguibacter keddieii	10-14
exiguobacterium antarcticum	10-14
chlamydia muridarum	3-7
clostridium symbiosum	2-3
streptococcus uberis	1-2
roseovarius indicus	3-7
streptacidiphilus albus	>14
jonquetella anthropi	3-7
afipia broomeae	2-3
legionella tucsonensis	3-7
alcaligenes faecalis	2-3
granulicella tundricola	>14
neisseria wadsworthii	1-2
micromonospora halophytica	10-14
kocuria rhizophila	10-14
streptomyces bungoensis	10-14
prevotella buccae	3-7
octadecabacter arcticus	>14
staphylococcus pasteuri	1-2
methanoculleus sediminis	2-3
corynebacterium vitaeruminis	10-14
clostridium innocuum	1-2
jonesia quinghaiensis	10-14
rhodococcus rhodochrous	10-14
pandoraea thiooxydans	1-2
mycoplasma gallisepticum	2-3
legionella spiritensis	1-2
dichelobacter nodosus	1-2
waddlia chondrophila	2-3
corynebacterium pilosum	10-14
thiomicrospira sp.	3-7
pandoraea faecigallinarum	1-2
micromonospora aurantiaca	10-14
acidithiobacillus caldus	2-3
lactobacillus johnsonii	1-2
fusobacterium varium	2-3
bacteroides uniformis	1-2
streptococcus ovis	1-2
glaciibacter superstes	10-14
saccharomonospora azurea	10-14
bartonella rochalimae	8-14
thermoanaerobaculum aquaticum	2-3
helicobacter heilmannii	3-7
staphylococcus hominis	1-2
burkholderia ambifaria	1-2
bacteroides cellulosilyticus	1-2
streptomyces yokosukanensis	10-14
mycobacterium marinum	10-14
acinetobacter bereziniae	1-2
leptospira interrogans	8-14
ochrobactrum intermedium	1-2
prevotella melaninogenica	2-3
streptococcus dysgalactiae	1-2
geothrix fermentans	3-7
congregibacter litoralis	2-3
enterococcus italicus	1-2
acinetobacter sp.	1-2
enterococcus cecorum	1-2
salipiger mucosus	1-2
streptomyces torulosus	10-14
leisingera aquimarina	3-7
burkholderia stabilis	1-2
acinetobacter johnsonii	1-2
staphylococcus equorum	1-2
alicycliphilus denitrificans	8-14
streptomyces albus	10-14
desulfotomaculum acetoxidans	2-3
haloterrigena sp.	3-7
tetrasphaera japonica	10-14
capnocytophaga cynodegmi	2-3
streptococcus pseudopneumoniae	1-2
bacteroides ovatus	1-2
massilia alkalitolerans	1-2
flexistipes sinusarabici	2-3
bacteroides finegoldii	1-2
salinispora arenicola	10-14
mycobacterium fortuitum	10-14
bartonella elizabethae	1-2
massilia sp.	2-3
streptomyces afghaniensis	10-14
polynucleobacter necessarius	>14
streptomyces hirsutus	10-14
intrasporangium calvum	10-14
clostridium bolteae	1-2
rhodoluna lacicola	8-14
legionella pneumophila	1-2
helicobacter pametensis	2-3
methanosarcina sp.	2-3
haemophilus influenzae	1-2
rhodococcus aetherivorans	10-14
coprobacter fastidiosus	2-3
streptococcus intermedius	1-2
micromonospora tulbaghiae	10-14
streptomyces longwoodensis	10-14
mesotoga infera	2-3
corynebacterium efficiens	10-14
sphaerisporangium viridialbum	10-14
streptomyces rapamycinicus	10-14
bordetella bronchiseptica	1-2
clavibacter michiganensis	10-14
barnesiella intestinihominis	2-3
streptomyces cinnabarinus	10-14
corynebacterium aurimucosum	10-14
bartonella florencae	2-3
legionella feeleii	1-2
micrococcus luteus	10-14
neisseria mucosa	1-2
enterococcus faecalis	1-2
methanoregula boonei	>14
microlunatus phosphovorus	10-14
staphylococcus haemolyticus	1-2
mycobacterium nonchromogenicum	10-14
fretibacterium fastidiosum	8-14
achromobacter piechaudii	2-3
veillonella parvula	1-2
jiangella muralis	10-14
sutterella wadsworthensis	1-2
maritimibacter alkaliphilus	2-3
roseovarius nubinhibens	2-3
campylobacter upsaliensis	1-2
demequina sediminicola	3-7
acinetobacter nectaris	1-2
sediminibacterium salmoneum	8-14
cellulomonas flavigena	10-14
desulfovibrio longus	3-7
corynebacterium imitans	10-14
haemophilus parasuis	1-2
terriglobus roseus	3-7
streptomyces atriruber	10-14
bacteroides coprocola	2-3
streptococcus oralis	1-2
mycoplasma pneumoniae	1-2
bacteroides salyersiae	1-2
opitutus terrae	8-14
lysinimicrobium mangrovi	2-3
sulfuricella denitrificans	8-14
desulfarculus baarsii	3-7
tetrasphaera elongata	10-14
metallosphaera sedula	3-7
mycobacterium gilvum	10-14
brevibacterium album	10-14
dietzia timorensis	10-14
streptococcus cristatus	2-3
pediococcus pentosaceus	2-3
parabacteroides merdae	1-2
rhizobium etli	1-2
staphylococcus pseudintermedius	1-2
pelagibaca bermudensis	2-3
geobacter pickeringii	8-14
streptomyces sp.	3-7
desulforegula conservatrix	3-7
streptomyces anulatus	10-14
streptomyces sulphureus	10-14
enterococcus saccharolyticus	1-2
arthrobacter castelli	8-14
methanobacterium paludis	>14
melissococcus plutonius	2-3
micromonospora mirobrigensis	10-14
streptomyces specialis	10-14
brevibacterium halotolerans	10-14
alistipes sp.	3-7
nocardia sp.	10-14
rhizobium leguminosarum	2-3
rhodopirellula baltica	3-7
streptomyces xiamenensis	10-14
streptococcus mitis	1-2
leptospirillum ferriphilum	8-14
acidithiobacillus ferrivorans	3-7
enterococcus sp.	1-2
methanosaeta thermophila	3-7
acinetobacter radioresistens	1-2
bacteroides thetaiotaomicron	1-2
thalassolituus oleivorans	1-2
desulfonatronovibrio magnus	8-14
anaeromyxobacter dehalogenans	>14
herbidospora sakaeratensis	10-14
desulfocarbo indianensis	8-14
treponema caldarium	2-3
desulfonatronum thioautotrophicum	8-14
legionella wadsworthii	1-2
desulfobacca acetoxidans	8-14
legionella sainthelensi	3-7
clostridium clostridioforme	1-2
saccharomonospora cyanea	10-14
xanthomonas albilineans	3-7
bacteroides dorei	1-2
jannaschia donghaensis	2-3
mycoplasma pulmonis	1-2
mucinivorans hirudinis	2-3
brevibacterium frigoritolerans	10-14
listeria welshimeri	1-2
geodermatophilus obscurus	10-14
syntrophomonas zehnderi	>14
geobacter sulfurreducens	2-3
helicobacter hepaticus	3-7
acinetobacter baylyi	1-2
gordonia alkanivorans	10-14
bacteroides plebeius	3-7
mesorhizobium loti	1-2
steroidobacter denitrificans	>14
escherichia coli	2-3
streptomyces corchorusii	10-14
staphylococcus hyicus	1-2
roseobacter sp.	1-2
acidilobus saccharovorans	3-7
burkholderia plantarii	1-2
bacteroides sp.	2-3
desulfobulbus propionicus	2-3
porphyromonas levii	1-2
alistipes senegalensis	3-7
granulicella mallensis	8-14
streptococcus anginosus	1-2
chlamydia trachomatis	3-7
rothia aeria	10-14
akkermansia muciniphila	2-3
rhizobium phaseoli	1-2
stenotrophomonas maltophilia	1-2
mycoplasma arginini	1-2
mycoplasma hominis	1-2
rhizobium sp.	2-3
legionella parisiensis	2-3
sinomonas atrocyanea	10-14
microtetraspora fusca	10-14
bacteroides eggerthii	1-2
syntrophothermus lipocalidus	3-7
enterococcus casseliflavus	1-2
saccharomonospora halophila	10-14
leptospirillum ferrooxidans	3-7
porphyromonas gulae	1-2
corynebacterium kroppenstedtii	10-14
mycobacterium septicum	10-14
listeria marthii	1-2
legionella nautarum	8-14
rickettsia monacensis	3-7
dinoroseobacter shibae	2-3
enterococcus gallinarum	1-2
rhodococcus pyridinivorans	10-14
bacteroides stercoris	1-2
nocardia nova	10-14
dialister invisus	2-3
campylobacter lari	1-2
chlamydophila pecorum	8-14
shimia marina	1-2
acetohalobium arabaticum	3-7
cellulophaga baltica	1-2
actinomadura rifamycini	10-14
methanocella conradii	3-7
legionella adelaidensis	2-3
agrococcus lahaulensis	10-14
thiobacillus thioparus	2-3
legionella moravica	2-3
corynebacterium glutamicum	1-2
celeribacter indicus	2-3
nakamurella lactea	10-14
amycolatopsis halophila	10-14
parasutterella excrementihominis	2-3
treponema maltophilum	2-3
bilophila wadsworthia	3-7
corynebacterium caspium	10-14
corynebacterium glucuronolyticum	10-14
campylobacter coli	1-2
micromonospora auratinigra	10-14
corynebacterium diphtheriae	10-14
mycobacterium chubuense	10-14
sorangium cellulosum	>14
streptococcus gordonii	1-2
polaromonas glacialis	>14
prevotella baroniae	3-7
streptomyces violaceusniger	10-14
demequina flava	3-7
desulfatiglans anilini	3-7
streptomyces sporocinereus	10-14
caldilinea aerophila	3-7
methylophaga frappieri	3-7
bordetella pertussis	1-2
planococcus halocryophilus	2-3
bordetella petrii	1-2
bartonella henselae	2-3
anaerobiospirillum succiniciproducens	1-2
syntrophobotulus glycolicus	3-7
streptococcus equi	1-2
syntrophorhabdus aromaticivorans	>14
ruminococcus champanellensis	3-7
loktanella vestfoldensis	3-7
borrelia afzelii	1-2
rathayibacter toxicus	10-14
corynebacterium stationis	10-14
frankia sp.	>14
amycolatopsis alba	10-14
mycobacterium vanbaalenii	10-14
chlamydophila caviae	3-7
litoreibacter arenae	2-3
methanobacterium lacus	8-14
actinoplanes liguriensis	10-14
streptococcus agalactiae	1-2
thermobispora bispora	10-14
streptococcus vestibularis	1-2
thermodesulfovibrio yellowstonii	2-3
gordonia terrae	10-14
corynebacterium lipophiloflavum	10-14
mycobacterium neoaurum	10-14
streptococcus mutans	1-2
desulfurivibrio alkaliphilus	3-7
streptomyces decoyicus	10-14
bartonella vinsonii	1-2
legionella cherrii	1-2
holophaga foetida	3-7
actinosynnema mirum	10-14
nocardia terpenica	10-14
micromonospora lupini	10-14
actinokineospora inagensis	10-14
prevotella salivae	3-7
herbidospora cretacea	10-14
streptomyces cellostaticus	10-14
amycolatopsis orientalis	10-14
methanocella paludicola	8-14
staphylococcus agnetis	1-2
acinetobacter lwoffii	1-2
bacillus subtilis	2-3
corynebacterium urealyticum	10-14
neisseria gonorrhoeae	1-2
streptomyces xinghaiensis	10-14
streptomyces ghanaensis	10-14
porphyromonas gingivalis	1-2
streptomyces diastatochromogenes	10-14
desulfonatronospira thiodismutans	8-14
paludibacter propionicigenes	3-7
bartonella birtlesii	2-3
actinoplanes missouriensis	10-14
streptomyces avermitilis	10-14
segniliparus rugosus	10-14
bacteroides xylanisolvens	1-2
legionella shakespearei	2-3
tetrasphaera australiensis	10-14
corynebacterium kutscheri	10-14
staphylococcus carnosus	1-2
acinetobacter harbinensis	1-2
amycolatopsis thermoflava	10-14
prevotella intermedia	1-2
methanosarcina mazei	2-3
legionella cincinnatiensis	2-3
streptosporangium roseum	10-14
bacillus thermoamylovorans	2-3
edaphobacter aggregans	8-14
prevotella bivia	2-3
leptonema illini	>14
sphaerochaeta globosa	8-14
streptomyces pactum	10-14
staphylococcus cohnii	1-2
enterococcus raffinosus	1-2
mycoplasma sp.	2-3
erysipelothrix rhusiopathiae	1-2
bacteroides vulgatus	1-2
methylotenera versatilis	1-2
sebaldella termitidis	1-2
burkholderia multivorans	1-2
barnesiella viscericola	2-3
mannheimia sp.	1-2
gulosibacter molinativorax	10-14
streptomyces atratus	10-14
thermocrispum municipale	10-14
rothia dentocariosa	10-14
amycolatopsis lurida	10-14
kutzneria albida	10-14
streptomyces ruber	10-14
parachlamydia acanthamoebae	3-7
erysipelothrix tonsillarum	1-2
isoptericola variabilis	10-14
acinetobacter calcoaceticus	1-2
legionella waltersii	3-7
thermincola ferriacetica	2-3
prevotella histicola	2-3
sulfuritalea hydrogenivorans	>14
flavonifractor plautii	1-2
planktomarina temperata	2-3
desulfatibacillum alkenivorans	3-7
salinispira pacifica	2-3
prevotella stercorea	3-7
dermatophilus congolensis	10-14
bacteroides faecis	1-2
simkania negevensis	2-3
lactobacillus paracasei	1-2
desulfocapsa sulfexigens	>14
methyloversatilis universalis	2-3
streptobacillus moniliformis	1-2
aeromicrobium erythreum	10-14
campylobacter hominis	2-3
luminiphilus syltensis	2-3
streptomyces griseus	10-14
rhodococcus fascians	10-14
wenxinia marina	1-2
streptomyces bikiniensis	10-14
ruegeria pomeroyi	2-3
dehalobacter restrictus	3-7
moraxella osloensis	1-2
acholeplasma laidlawii	1-2
chthonomonas calidirosea	3-7
mobiluncus mulieris	3-7
acidithiobacillus ferrooxidans	3-7
leptotrichia buccalis	1-2
enterococcus hirae	1-2
streptomyces aureocirculatus	10-14
jiangella alba	10-14
listeria ivanovii	1-2
methylomonas methanica	2-3
campylobacter concisus	1-2
streptomyces phaeochromogenes	10-14
patulibacter minatonensis	10-14
streptococcus hyovaginalis	1-2
burkholderia ubonensis	2-3
streptomyces griseoplanus	10-14
selenomonas ruminantium	1-2
actinomadura atramentaria	10-14
desulfobacter postgatei	2-3
bacteroides coprosuis	2-3
mycobacterium obuense	10-14
mycoplasma penetrans	1-2
nakamurella multipartita	10-14
mycobacterium abscessus	10-14
microbacterium testaceum	10-14
methanosphaerula palustris	8-14
dermabacter hominis	10-14
anaeromusa acidaminophila	1-2
terriglobus saanensis	3-7
mesorhizobium huakuii	1-2
streptomyces griseorubens	10-14
methylobacterium extorquens	1-2
actinomadura madurae	10-14
cupriavidus basilensis	2-3
corynebacterium ammoniagenes	10-14
legionella erythra	2-3
corynebacterium riegelii	10-14
cellulomonas fimi	10-14
treponema succinifaciens	2-3
candidatus amoebophilus	2-3
megasphaera elsdenii	1-2
prevotella scopos	3-7
legionella brunensis	3-7
listeria newyorkensis	1-2
bacteroides fragilis	1-2
haemophilus parainfluenzae	1-2
brachyspira murdochii	1-2
corynebacterium pseudotuberculosis	10-14
sutterella parvirubra	1-2
methanoculleus marisnigri	3-7
streptococcus pneumoniae	1-2
lactobacillus kimbladii	3-7
defluviitoga tunisiensis	3-7
amycolatopsis regifaucium	10-14
legionella geestiana	3-7
mycoplasma dispar	1-2
microbacterium chocolatum	10-14
mycobacterium novocastrense	10-14
achromobacter xylosoxidans	1-2
mesotoga prima	3-7
pseudomonas sp.	1-2
listeria grayi	1-2
staphylococcus simulans	1-2
capnocytophaga ochracea	2-3
thermodesulfobium narugense	3-7
enterococcus mundtii	1-2
geobacter lovleyi	8-14
burkholderia sp.	1-2
chelatococcus sp.	3-7
sphaerochaeta pleomorpha	8-14
brachybacterium faecium	10-14
paenibacillus darwinianus	>14
methanobrevibacter smithii	2-3
spiroplasma eriocheiris	3-7
mannheimia granulomatis	2-3
bacteroides caccae	1-2
neisseria meningitidis	1-2
arsenophonus nasoniae	3-7
streptomyces speibonae	10-14
streptomyces vitaminophilus	10-14
staphylococcus argenteus	1-2
streptomyces collinus	10-14
moraxella boevrei	1-2
saccharopolyspora phatthalungensis	10-14
phaeobacter inhibens	1-2
streptomyces scabiei	10-14
corynebacterium halotolerans	10-14
goodfellowiella coeruleoviolacea	10-14
aminobacter sp.	3-7
megamonas funiformis	2-3
enterococcus sulfureus	1-2
rhizobium tropici	3-7
mycoplasma genitalium	1-2
solirubrobacter soli	8-14
staphylococcus caprae	1-2
thermobifida halotolerans	10-14
mycoplasma fermentans	2-3
staphylococcus saprophyticus	1-2
methanococcus vannielii	2-3
rhizobium leucaenae	3-7
thermacetogenium phaeum	8-14
